Website,Name,Price (INR),Rating
Amazon,India's No.1 Men's Trimmer* | Skin Safe Beard Trimmer for Men | Durapower tech | Self Sharpening Blades | Skin Protect Comb | 30 min runtime USB charging | No oil needed | 2yr warranty |BT1232,749,4.0
Amazon,India's No.1 Men's Trimmer* | Lift & Trim Technology | Skin Friendly Beard Trimmer for Men | Effortless Styling | Self-Sharpening Blades | 60 mins runtime | 3 yrs warranty* | BT3325,799,4.2
Amazon,QP210/51 Oneblade Replaceable Blade (Lime),799,4.3
Amazon,Showerproof Body & Balls Trimmer for Men Private Parts | Bi-directional Trimming| Skin Safe Intimate Grooming | Skin Protection System | 2yrs Warranty | India's #1 Men's Trimmer* | BG1025,899,4.0
Amazon,"India's No.1 Men's Trimmer* | One stroke beard trimming | All-in-One Grooming Kit- Face, Hair, Body | Ear/Nose attachment | Safe for Sensitive Skin | 60 mins runtime | 5yr warranty* | MG3927",1099,4.2
Amazon,"Electric Shaver for Men | ComfortCut Blades | Wet and Dry Shave | 3D Flex Heads | 27 Self Sharpening Blades | Cordless | Waterproof | One Toch Open | 2 Year Warranty | S1151/03,Blue",1549,3.9
Amazon,"OneBlade Turbo2X Hybrid Trim, Edge, Shave | Perfected for Skin Comfort | Trimmer Men Beard | Suits all skin types & beard thickness, Wet & Dry Use | Electric Trimmer for Men | QP2724/10",1549,4.2
Amazon,"OneBlade Intimate 2-in-1 Trimmer for Women | Painless Hair Removal with Patented Skin-Safe Tech | Bikini, Underarm & Body Trimmer | Sensitive Skin Tested | No post shave irritation | QP1924/20",1799,4.3
Amazon,"Electric Shaver For Men, Skinprotect Technology, Wet And Dry Shave, 3D Floating Heads, 27 Self Sharpening Blades, Pop-Up Trimmer, Cordless, Waterproof X3063/03 (New Model), Blue",2699,4.1
Amazon,"Pitbull Silver PRO SX5 :Electric Head Shaver for Men, Wet & Dry Bald Head Shaver with Ergonomic Design - Perfect Grooming Kit & Gift for Men",5133,4.2
Flipkart,PHILIPS 2724 Trimmer 45 min  Runtime 3 Length Settings,1760,3.9
Flipkart,"PHILIPS QP 2724/10 OneBlade Turbo2X Trim, Edge, Shave",1789,4.1
Flipkart,"PHILIPS MG3760/33, 11 in 1 Multigroomer, Unique DualCut...",1799,4.1
Flipkart,"PHILIPS QP1924/20 OneBlade Razor for Women, Intimate Un...",1999,4.6
Flipkart,PHILIPS 1924 Fully Waterproof Body Groomer 30 min  Runt...,2240,
Flipkart,"PHILIPS BG3007/01, Body Groomer, Sensitive Skin, Patent...",2470,4.1
Flipkart,PHILIPS S3144/03  Shaver For Men,4507,4.2
Flipkart,PHILIPS S3144/03  Shaver For Men,4523,4.1
Flipkart,PHILIPS S7887/35  Shaver For Men,8999,4.1
Flipkart,PHILIPS World's No.1 Electric Shaver I SkinIQ Pro Tech ...,21599,
